HOUSE,REGION,WORDS,SOURCE,TIER
Piper,Riverlands,Brave and Beautiful,invented,minor
Strong,Riverlands,Strength in the Blood,invented,minor
Tully,Riverlands,Family Duty Honor,canon,great
Vance of Wayfarer's Rest,Riverlands,Watching the Way,invented,minor
Whent,Riverlands,Rising from the Ruin,invented,minor
Baratheon,Stormlands,Ours is the Fury,canon,great
Connington,Stormlands,Loyalty Unto Death,invented,minor
Dondarrion,Stormlands,Swift as Lightning,invented,minor
Estermont,Stormlands,Loyal to the Storm,invented,minor
Farring,Stormlands,Faith is Our Shield,invented,minor
Fell,Stormlands,Watchers in the Woods,invented,minor
Seaworth,Stormlands,Humble Beginnings Honest Deeds,invented,minor
Swann,Stormlands,Grace in Battle,invented,minor
Tarth,Stormlands,Beauty and Steel,invented,important
Trant,Stormlands,So End Our Foes,canon,minor
Wylde,Stormlands,Untamed and True,invented,minor
Arryn,Vale,As High as Honor,canon,great
Corbray,Vale,Honor's Blade,invented,minor
Grafton,Vale,Trade and Steel,invented,minor
Lynderly,Vale,Hidden in the Leaves,invented,minor
Redfort,Vale,As Strong as Stone,canon,minor
Royce,Vale,We Remember,canon,important
Templeton,Vale,Guided by the Stars,invented,minor
Waynwood,Vale,Steady as the Mountain,invented,minor
Baelish,Vale/Riverlands,Rise From Nothing,invented,minor
Brax,Westerlands,We Ride Without Arms,invented,minor
Clegane,Westerlands,Strength Without Mercy,invented,minor
Crakehall,Westerlands,None so Fierce,canon,important
Farman,Westerlands,The Wind Our Steed,canon,minor
Lannister,Westerlands,Hear Me Roar!,canon,great
Marbrand,Westerlands,Burning Bright,canon,minor
Payne,Westerlands,We Bring Our Name,invented,minor
Plumm,Westerlands,Come Try Me,canon,minor
Reyne,Westerlands,None Shall Sing of Us,invented,minor
Swyft,Westerlands,Awake! Awake!,canon,minor
Westerling,Westerlands,Honor not Honors,canon,minor
